Date,Strategy,Benchmark
2020-01-10,96.76100450936043,105.33216893876208
2020-01-13,97.28666586492533,105.31524968361866
2020-01-14,97.66731639819726,105.39812506832918
2020-01-15,97.34179785118896,105.25365541640473
2020-01-16,98.0891274851433,105.36566667855253
2020-01-17,99.18040992865461,106.44200732977546
2020-01-20,99.15341195034155,106.0550198348664
2020-01-21,98.86413568807696,105.48710876418663
2020-01-22,99.6080782893984,104.8762691302301
2020-01-23,101.02947339939355,104.19250461005625
2020-01-24,102.83008525066724,105.10796750995584
2020-01-27,99.84403536743291,102.29474519666186
2020-01-28,101.27816294457338,103.39044161207707
2020-01-29,101.99791401517483,103.8976444188334
2020-01-30,101.4234136025609,102.44741037902335
2020-01-31,99.98181061449061,101.30582069701322
2021-03-01,101.50726445389142,102.89684194647349
2021-03-02,102.25819618466369,103.1977447000184
2021-03-03,103.28965003116322,103.5588661667868
2021-03-04,102.79211781258584,103.56934351167719
2021-03-05,101.6909938625081,102.71672355132556
2021-03-08,105.6796884843671,104.85431874143359
2021-03-09,106.26155967228318,105.2447472846793
2021-03-10,107.30848937809012,106.40963201993875
2021-03-11,107.75008813524465,107.17716691954972
2021-03-12,108.41770937290946,107.40435530701563
2021-03-15,108.68374035538689,107.2164309429924
2021-03-16,107.91434258299734,107.56209659138771
2021-03-17,109.93741862694841,107.55125496794982
2021-03-18,110.8319379800787,107.69282922345131
2021-03-19,108.45466334214471,106.54125800177361
2021-03-22,108.1122257084543,106.01760758972294
2021-03-23,106.3920300994862,105.60586007814892
2021-03-24,106.67784295548171,105.64121244385524
2021-03-25,108.68169881711768,105.73216065455111
2021-03-26,109.43478089823995,106.37872905649135
2021-03-29,109.57362417887224,106.85299370545768
2021-03-30,111.88723985915328,108.14134284842795
2021-03-31,110.55246342127884,107.771695528988
2021-04-01,110.45154828567108,108.4063641650428
2021-04-06,111.8905314391014,108.910473635009
2021-04-07,111.36724502754822,108.89840040314854
2021-04-08,110.39865463365214,109.52116927331788
2021-04-09,110.32256255200248,109.58671339197406
2021-04-12,110.65902688089906,109.44940639945771
2021-04-13,111.74736435554597,109.84764958487749
2021-04-14,112.17023672846986,110.28248541772487
2021-04-15,111.23451299298992,110.73650658740794
2021-04-16,113.43288599495328,111.6766921719428
2021-04-19,112.40945896479467,111.84757350392165
2021-04-20,108.63774871208636,109.51032764987997
2021-04-21,109.48149494558437,110.31747350488364
2021-04-22,110.22603367191006,111.32516337359225
2021-04-23,111.22623997767754,111.1592605150961
2021-04-26,111.88335738743672,111.47153396330268
2021-04-27,111.39471377583754,111.44026672130776
2021-04-28,111.45011736014582,112.03035460178589
2021-04-29,108.83236251845148,111.95201736747298
2021-04-30,108.19942930683138,111.36424525776118
2021-05-03,108.86054971128698,112.04669509663148
2021-05-04,107.5603036405791,111.04930910683825
2021-05-05,109.25105656148644,112.6074759006323
2021-05-06,109.51529088778506,112.92045188603765
2021-05-07,110.36522970913408,113.42527256650138
2021-05-10,109.87320251538381,113.43380709247171
2021-05-11,107.96092225060003,111.32712353910983
2021-05-12,107.7107784253817,111.53956731870022
2021-05-13,108.67515900135808,111.69907795601739
2021-05-14,110.22564194336547,113.41870687934743
2021-05-17,109.94397312167585,113.1027039126782
2021-05-18,109.78447872277673,112.85970410159042
2021-05-19,108.79082926773751,111.24114512859789
2021-05-20,110.1128247744658,112.68047905621376
