,Strategy,Benchmark
2021-03-18,116.3618161474772,113.7876069886958
2021-03-19,113.5686924308856,112.566732743581
2021-03-22,112.76001977860176,112.03728695190884
2021-03-23,111.29423509656628,111.5052848250878
2021-03-24,111.96711058941752,111.62175415182894
2021-03-25,113.11611007549767,111.87389516847148
2021-03-26,113.99402670837216,112.71746480796698
2021-03-29,113.97886670614778,113.11514774966123
2021-03-30,116.90691969133142,114.3674898249236
2021-03-31,115.4950811135802,114.11302230591488
2021-04-01,115.84354978793448,114.80008560515648
2021-04-06,117.23285161982736,115.28800986609524
2021-04-07,117.02926583259752,115.22212668699598
2021-04-08,116.459924067954,115.47925662948096
2021-04-09,116.70500916986848,115.558026528018
2021-04-12,117.03843650734636,115.54622046394532
2021-04-13,118.01354898300612,116.0227762788426
2021-04-14,118.37050986955018,116.14390323477322
